dataset,implementation,output_pct,gbps
dickens,Native LZ4,63.25838824614593,0.28626100000000004
xml,Native LZ4,25.327516035191888,0.695755
ooffice,Native LZ4,68.31657697223335,0.377907
random,Native LZ4,100.3936767578125,8.489257
repeated,Native LZ4,0.40740966796875,10.626519
text,Native LZ4,0.49285888671875,10.045202999999999
dickens,UADK 32 KiB window,58.49421451992522,0.520811
xml,UADK 32 KiB window,20.708703586379265,1.321433
ooffice,UADK 32 KiB window,66.22657583268628,0.49302300000000004
random,UADK 32 KiB window,100.018310546875,3.6042899999999998
repeated,UADK 32 KiB window,1.6952571454366732,3.906741
text,UADK 32 KiB window,1.9860253765665252,3.9037539999999997
dickens,UADK 8 KiB window,62.457931489533955,0.464681
xml,UADK 8 KiB window,22.42118804919036,1.20866
ooffice,UADK 8 KiB window,67.90572811964907,0.48823300000000003
random,UADK 8 KiB window,100.018310546875,5.131011
repeated,UADK 8 KiB window,1.7240289710878087,6.828064
text,UADK 8 KiB window,1.9589940373329278,6.807411
